2022-01-27 07:38:16,562 WARNING Thread-5  :36345 [util.py:request_with_retry():769] requests_with_retry encountered retryable exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')). func: <bound method Session.post of <requests.sessions.Session object at 0x7f191cd86cc0>>, args: ('https://api.wandb.ai/files/hieubkvn123/graph-neural-diffusion/alpha=2.0_T=128.0/file_stream',), kwargs: {'json': {'files': {'wandb-summary.json': {'offset': 0, 'content': ['{"run_time": 3.875859260559082, "loss": 0.08457741141319275, "train_acc": 1.0, "val_acc": 0.6022058823529411, "test_acc": 0.5928934010152285, "_runtime": 28, "_timestamp": 1643269095, "_step": 9}']}, 'wandb-history.jsonl': {'offset': 9, 'content': ['{"run_time": 3.875859260559082, "loss": 0.08457741141319275, "train_acc": 1.0, "val_acc": 0.6022058823529411, "test_acc": 0.5928934010152285, "_runtime": 28, "_timestamp": 1643269095, "_step": 9}']}, 'output.log': {'offset': 62, 'content': ['2022-01-27T07:38:16.501057 Epoch: 010, Runtime 3.876075, Loss 0.084577, forward nfe 3656, backward nfe 0, Train: 1.0000, Val: 0.6022, Test: 0.5929, Best time: 128.0000\n']}}}}
2022-01-27 07:38:17,996 DEBUG   SenderThread:36345 [sender.py:send():160] send: stats
2022-01-27 07:38:19,563 DEBUG   SenderThread:36345 [sender.py:send():160] send: history
2022-01-27 07:38:19,564 DEBUG   SenderThread:36345 [sender.py:send():160] send: summary
2022-01-27 07:38:19,566 INFO    SenderThread:36345 [sender.py:_save_file():781] saving file wandb-summary.json with policy end
2022-01-27 07:38:23,312 DEBUG   HandlerThread:36345 [handler.py:handle_request():120] handle_request: status
2022-01-27 07:38:23,312 DEBUG   SenderThread:36345 [sender.py:send():160] send: request
2022-01-27 07:38:23,312 DEBUG   SenderThread:36345 [sender.py:send_request():169] send_request: status
2022-01-27 07:38:23,712 DEBUG   SenderThread:36345 [sender.py:send():160] send: history
2022-01-27 07:38:23,712 DEBUG   SenderThread:36345 [sender.py:send():160] send: summary
2022-01-27 07:38:23,713 INFO    SenderThread:36345 [sender.py:_save_file():781] saving file wandb-summary.json with policy end
2022-01-27 07:38:24,568 WARNING Thread-5  :36345 [util.py:request_with_retry():769] requests_with_retry encountered retryable exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')). func: <bound method Session.post of <requests.sessions.Session object at 0x7f191cd86cc0>>, args: ('https://api.wandb.ai/files/hieubkvn123/graph-neural-diffusion/alpha=2.0_T=128.0/file_stream',), kwargs: {'json': {'files': {'wandb-summary.json': {'offset': 0, 'content': ['{"run_time": 3.82914400100708, "loss": 0.09883078187704086, "train_acc": 1.0, "val_acc": 0.6022058823529411, "test_acc": 0.5928934010152285, "_runtime": 36, "_timestamp": 1643269103, "_step": 11}']}, 'wandb-history.jsonl': {'offset': 11, 'content': ['{"run_time": 3.82914400100708, "loss": 0.09883078187704086, "train_acc": 1.0, "val_acc": 0.6022058823529411, "test_acc": 0.5928934010152285, "_runtime": 36, "_timestamp": 1643269103, "_step": 11}']}, 'output.log': {'offset': 64, 'content': ['2022-01-27T07:38:24.511417 Epoch: 012, Runtime 3.829357, Loss 0.098831, forward nfe 5044, backward nfe 0, Train: 1.0000, Val: 0.6022, Test: 0.5929, Best time: 128.0000\n']}}}}
2022-01-27 07:38:27,229 DEBUG   SenderThread:36345 [sender.py:send():160] send: history
2022-01-27 07:38:27,230 DEBUG   SenderThread:36345 [sender.py:send():160] send: summary
2022-01-27 07:38:27,232 INFO    SenderThread:36345 [sender.py:_save_file():781] saving file wandb-summary.json with policy end
2022-01-27 07:38:31,074 DEBUG   SenderThread:36345 [sender.py:send():160] send: history
2022-01-27 07:38:31,075 DEBUG   SenderThread:36345 [sender.py:send():160] send: summary
2022-01-27 07:38:31,076 INFO    SenderThread:36345 [sender.py:_save_file():781] saving file wandb-summary.json with policy end
2022-01-27 07:38:35,448 DEBUG   SenderThread:36345 [sender.py:send():160] send: history
2022-01-27 07:38:35,449 DEBUG   SenderThread:36345 [sender.py:send():160] send: summary
