epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,38.0,0.0,2.7135518074035643,0.0029967342236990437,0.18633333333333335,0.03277702447345295,0.26168085106382977,0.07361655700259455,0.25601890047251186,0.07176483583632211
2,114.0,0.0,2.6417138814926147,0.011528144777300256,0.2813333333333333,0.0504909232766973,0.35625531914893616,0.07423252713673692,0.35272631815795397,0.0704077356589015
3,190.6,1.8,2.5690078735351562,0.015124016610395119,0.37699999999999995,0.06087236190952709,0.4852978723404256,0.03982060837134247,0.4804170104252606,0.03747921368832331
4,271.4,4.199999999999999,2.506970977783203,0.019488768055667616,0.47300000000000003,0.08856196826077332,0.5718723404255319,0.048391866546452895,0.5665191629790745,0.04792434596018313
5,355.8,5.4,2.460968327522278,0.014519513172959977,0.5203333333333333,0.08191391144908715,0.6204255319148937,0.050838955203948315,0.6160729018225455,0.04936891475629076
6,443.8,5.4,2.4145196199417116,0.012748071967462632,0.563,0.09140204228207012,0.6584893617021277,0.04599461164732781,0.6531163279081976,0.045691804634372904
7,531.2,6.462197768561405,2.3740872144699097,0.0154238839008844,0.5953333333333333,0.08910917149454618,0.6877872340425533,0.0541624737498026,0.6837020925523138,0.05148768976612767
8,619.2,6.462197768561405,2.350110578536987,0.015691073743540965,0.615,0.08282847068222107,0.7072553191489362,0.048180046549049116,0.7006525163129078,0.047091345047183784
9,707.2,6.462197768561405,2.3184402227401733,0.017216413510289033,0.644,0.08417970196087785,0.7299574468085106,0.044188861721324614,0.7246681167029176,0.04507229552975442
10,795.2,6.462197768561405,2.2927362442016603,0.011603160949936662,0.6649999999999999,0.07906748172710869,0.749127659574468,0.03659641884584373,0.7426985674641866,0.03538402465347201
11,883.2,6.462197768561405,2.2666446208953857,0.013162701515089024,0.6863333333333334,0.08847410167199589,0.7590851063829787,0.03983567991507187,0.7549313732843321,0.042049669307609706
12,971.2,6.462197768561405,2.2506160020828245,0.01297301196985064,0.7070000000000001,0.0743482795138305,0.7695744680851064,0.03461343140051625,0.7649666241656041,0.03552551595086817
13,1059.2,6.462197768561405,2.225539970397949,0.030151495341135277,0.724,0.08251329859146612,0.7828936170212766,0.03535005056781566,0.7780394509862746,0.03534508541469877
14,1147.2,6.462197768561405,2.207321119308472,0.02560860881954991,0.7366666666666667,0.07155417527999325,0.7921063829787234,0.031585312411989384,0.7866946673666841,0.03135148354004456
