epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,355.4,6.545227268781428,1.7931262671947479,0.001403210263717373,0.20625,0.059562933570766606,0.208731884057971,0.07617954166827252,0.22258064516129034,0.07070699900743091
2,1026.0,14.198591479439079,1.777236407995224,0.016547989250789586,0.25916666666666666,0.08611603928550257,0.2835507246376811,0.12000754807178964,0.29887096774193544,0.12199147460019522
3,1755.4,64.31205174770899,1.7510462999343872,0.03185282829205511,0.28874999999999995,0.09762011831584717,0.3239130434782609,0.11890043561561085,0.3507258064516129,0.11800950044648759
4,2553.2,148.54817400426032,1.7162845849990844,0.0433812743122038,0.3029166666666666,0.10415916639664723,0.34358695652173915,0.12994498920905684,0.36798387096774193,0.12806215464630244
5,3411.9,205.57575246122778,1.6802418768405913,0.057833247893837696,0.37583333333333335,0.13811478720413845,0.4247826086956522,0.16233543522832852,0.4456451612903226,0.15963676575999056
6,4295.2,246.5014401580648,1.6643013656139374,0.054335573483692626,0.42000000000000004,0.12031209415515966,0.4792753623188407,0.13004337408356173,0.500241935483871,0.12718360694338743
7,5168.6,266.97572923395114,1.632193034887314,0.054343075378274285,0.4445833333333333,0.10439225572596636,0.5116666666666665,0.11636943413365948,0.5270967741935484,0.1122151846172739
8,6039.3,295.92517635375333,1.6039806127548217,0.048598643887894546,0.4479166666666667,0.09040322480727973,0.5128260869565217,0.11561800283385829,0.5248387096774193,0.10902844047525483
9,6910.0,338.82207720277023,1.6004357159137725,0.05582375681596235,0.4487500000000001,0.07693228443825706,0.5102536231884058,0.11184877677375152,0.5233064516129031,0.1076284835843563
10,7788.8,393.2522854351898,1.5877628028392792,0.046494830254729995,0.4379166666666666,0.06994417416768892,0.5017753623188407,0.09124062504890719,0.5204032258064516,0.09264339084254963
11,8679.0,450.5816241259734,1.5897752404212953,0.03840816479246127,0.44416666666666665,0.08262616615415079,0.4998550724637682,0.09623084729666767,0.52,0.09903593562573813
12,9608.8,516.9291634257057,1.581163328886032,0.033605746519527115,0.45916666666666667,0.08850219708509438,0.5181159420289856,0.0922446975495228,0.5353225806451614,0.09408757295187832
13,10560.2,577.4266706690989,1.5555416464805603,0.029914968418471896,0.4654166666666667,0.09959204982772916,0.5218115942028986,0.10528062837975127,0.5358870967741935,0.10325588649434767
14,11531.4,617.4110786178039,1.5450345695018768,0.04218120352118119,0.5025000000000001,0.07651706418251494,0.5772101449275362,0.09136168978071893,0.5973387096774194,0.08884633901459038
15,12500.8,646.9869859587594,1.5158159673213958,0.053522440437168854,0.515,0.050662280511902205,0.581195652173913,0.07689135693201454,0.5959677419354839,0.0724649615715562
16,13546.7,740.5625631909838,1.4956341147422791,0.0427628822769066,0.5083333333333332,0.05170697352496189,0.5746376811594203,0.0749525509781398,0.5933870967741934,0.07423018029759545
