epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,32.0,0.0,2.0946939468383787,0.014168118971160519,0.221875,0.07635494826794136,0.28559701492537315,0.031679170402336344,0.2708702188074161,0.032386838149323534
2,99.0,3.0,1.7781244158744811,0.02337846485214989,0.24874999999999997,0.031224989991991994,0.311044776119403,0.01653216688062301,0.3005678971104059,0.01470804806383959
3,168.4,2.939387691339814,1.6230911254882812,0.027417140582061596,0.289375,0.07644697917511195,0.3585820895522388,0.04288707994486652,0.3443794888926006,0.03993155151087994
4,241.4,3.2310988842807027,1.4502750992774964,0.029864518480158517,0.370625,0.10216599544368957,0.42335820895522386,0.07586440313596789,0.4045097711708703,0.07189017964373516
5,314.4,2.939387691339814,1.2938377857208252,0.03788149716049606,0.553125,0.10764706510165524,0.5907462686567164,0.10074085115340056,0.5818941038917654,0.10280462935393152
6,386.2,3.8418745424597094,1.1599703073501586,0.037997454120276435,0.70875,0.07558108228915487,0.728955223880597,0.07928436319521716,0.7210957073659595,0.07724700987442054
7,455.0,6.708203932499369,1.0468052983283997,0.0349074487569728,0.8043750000000001,0.06287698804014073,0.8008955223880598,0.052715099457828415,0.7973108401536663,0.05310469490295086
8,525.6,8.569714114251418,0.9505743384361267,0.04015226177153907,0.8537500000000001,0.04456385867493973,0.8320149253731344,0.03363751644829161,0.8310005010856857,0.03195984054581253
9,593.8,9.314504817756013,0.86323122382164,0.0391657082336945,0.8793749999999999,0.05199534233948266,0.8532089552238806,0.016054492025294458,0.8502254885585435,0.019536352063406863
10,659.6,10.8,0.7834676921367645,0.03524588344570043,0.8856249999999999,0.04230192814754429,0.8673880597014925,0.01580628021062136,0.8617838650409219,0.01810673585413203
11,727.2,10.322790320451151,0.7202876567840576,0.03092708979369073,0.90625,0.03535533905932738,0.8709701492537313,0.016416044670103287,0.8669450476031402,0.018681261696614354
12,794.8,10.998181667894016,0.6363689541816712,0.028037493354983737,0.9174999999999999,0.028339460121886595,0.8713432835820896,0.014199513983631715,0.8707700016702857,0.015115678808772962
13,861.2,12.528367810692659,0.5900590181350708,0.03805796805465556,0.9381250000000001,0.023791082888342866,0.8761194029850747,0.016984786084688137,0.8749958242859529,0.01826458660735938
14,927.6,14.499655168313486,0.5320057541131973,0.03180281651508076,0.9425000000000001,0.024334902917414733,0.8822388059701494,0.01840365688572939,0.8828795724068815,0.019814234400766084
15,992.8,16.05490579231158,0.48750585317611694,0.030244633838439818,0.9481249999999999,0.017241392780167154,0.8869402985074627,0.015479454113948904,0.8872390178720562,0.016913891471527012
16,1059.2,16.05490579231158,0.44796484112739565,0.0345750621020272,0.95875,0.012247448713915886,0.8880597014925373,0.016057787157723883,0.8909971605144481,0.016357921550183945
17,1125.0,18.444511378727277,0.40860035121440885,0.023006266231689273,0.95625,0.016056540723331403,0.8926119402985074,0.012016779313719077,0.8961416402204776,0.01324080406072922
