epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,240.2,2.749545416973504,1.94711012840271,0.0008670702474394908,0.13214285714285715,0.02914600823300452,0.22147058823529414,0.10898874580800885,0.2165482233502538,0.10974807119078991
2,736.8,8.818163074019441,2.074756610393524,0.11512651004706934,0.21285714285714286,0.12200702555883527,0.17308823529411765,0.1190727947510555,0.17512690355329946,0.11937916479862909
3,1246.0,11.384199576606166,1.9380377173423766,0.04496036616407882,0.22642857142857142,0.0964179888372941,0.31580882352941175,0.03451381612427418,0.3057868020304569,0.03232127623281037
4,1754.0,17.59545395833822,1.9214704871177672,0.028538190896222646,0.27142857142857146,0.11184902360607647,0.3361764705882353,0.0662367372635594,0.33756345177664976,0.06350373507171807
5,2250.0,26.38181191654584,1.8832162221272786,0.05207042950737425,0.3761904761904762,0.16265582098336734,0.39031862745098045,0.1659504235740018,0.40439932318104904,0.1756664648885279
6,2754.4,43.03301058489866,1.869961142539978,0.07173347263773883,0.43571428571428567,0.18277900116070808,0.3972058823529412,0.1739161940721842,0.4105583756345178,0.16931575376705071
7,3234.5,42.717092597694425,1.8703821301460266,0.06401308790174602,0.36964285714285716,0.09561495378733968,0.3838235294117647,0.12706129150653223,0.3979695431472081,0.12941474788160626
8,3729.0,54.08326913195984,1.8092005848884583,0.10586495213284092,0.44107142857142856,0.15339483201788745,0.4909926470588235,0.2031517815722246,0.5027918781725889,0.18700382914866126
9,4220.5,63.83376849285964,1.7186297476291656,0.14421466017952297,0.46964285714285714,0.14226439527606796,0.5290441176470588,0.2098343776570293,0.5345177664974619,0.18819484613240353
10,4709.0,68.0808343074613,1.6427633464336395,0.145163383293957,0.5696428571428571,0.16815133793395637,0.5950367647058823,0.15934976732203984,0.6093908629441624,0.16040508738360862
11,5196.0,79.93747556684536,1.5183079242706299,0.16659755896158224,0.6267857142857143,0.15331165737058058,0.6626838235294118,0.10987835239403161,0.6758883248730965,0.10713035317698773
12,5724.0,101.86265262597475,1.281089425086975,0.18879850605855772,0.6904761904761906,0.03563483225498988,0.7276960784313725,0.028775804159684653,0.7302876480541455,0.028538976165560736
13,6281.0,147.0,1.2446524500846863,0.005271971225738525,0.7214285714285714,0.0714285714285714,0.7602941176470588,0.011029411764705899,0.7538071065989848,0.0035532994923858086
14,6630.0,0.0,1.0911600589752197,0.0,0.7785714285714286,0.0,0.7860294117647059,0.0,0.7888324873096447,0.0
15,7126.0,0.0,0.9702727198600769,0.0,0.7714285714285715,0.0,0.7727941176470589,0.0,0.7888324873096447,0.0
16,7622.0,0.0,0.9348445534706116,0.0,0.7428571428571429,0.0,0.7911764705882353,0.0,0.7888324873096447,0.0
17,8118.0,0.0,0.8021768927574158,0.0,0.7714285714285715,0.0,0.7867647058823529,0.0,0.798984771573604,0.0
18,8632.0,0.0,0.756966769695282,0.0,0.7928571428571428,0.0,0.7772058823529412,0.0,0.7939086294416243,0.0
19,9164.0,0.0,0.7537755966186523,0.0,0.7928571428571428,0.0,0.7779411764705882,0.0,0.7898477157360406,0.0
