epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,344.6,4.199999999999999,1.791306734085083,0.0013759748479198607,0.30999999999999994,0.06366143084928093,0.3379710144927536,0.06249402407893623,0.32370967741935486,0.058163222553916316
2,999.0,10.478549517943788,1.7580062866210937,0.009538827049775512,0.44416666666666665,0.10192930556681594,0.4808695652173913,0.09861687890454111,0.44790322580645164,0.09261506047981342
3,1650.4,16.365818036383025,1.706783950328827,0.015290321417410456,0.5791666666666667,0.060924589088114135,0.6122463768115942,0.06671662431892443,0.5804838709677419,0.07652184741728342
4,2351.0,19.944924166313594,1.6512400031089782,0.016861443776127832,0.6249999999999999,0.0477260702109212,0.6689130434782609,0.08267442719228962,0.6353225806451613,0.07500069371860925
5,3172.2,58.360603149727645,1.5906855940818787,0.013871805578274617,0.645,0.034801021696368506,0.7145652173913043,0.026914120462635447,0.6779032258064517,0.027618348121595925
6,4010.8,62.85984409780222,1.5523067474365235,0.021635086695275585,0.6608333333333334,0.014930394055974103,0.7313043478260869,0.022411814629624462,0.6982258064516129,0.019414558404550527
7,4833.2,70.98281482161721,1.5141201615333557,0.03157622409500768,0.6825,0.020899893673307416,0.7391304347826086,0.014492753623188429,0.7066129032258065,0.011300686487486023
8,5648.4,87.12198344849594,1.493362581729889,0.03596991302608837,0.6491666666666667,0.02280655363900669,0.7069565217391306,0.033298974100089966,0.6801612903225807,0.029767132983130575
9,6501.4,100.73748061173657,1.4904297113418579,0.03257331017812473,0.6658333333333334,0.03083333333333332,0.7230434782608696,0.03530822662588451,0.6796774193548388,0.03548533721310806
10,7407.8,116.31491735800701,1.469708800315857,0.028981334278248658,0.6658333333333333,0.013667682889047267,0.7250724637681161,0.014755587694157017,0.692741935483871,0.009411673845738803
11,8296.8,131.11887735944052,1.472425389289856,0.037971593774453805,0.6525000000000001,0.02911900868276027,0.7158695652173914,0.03366166276987342,0.6858064516129032,0.03256147631564512
12,9199.0,137.40524007475116,1.4602747082710266,0.026604512923335922,0.6583333333333333,0.02140872096444188,0.7242753623188405,0.023550724637681163,0.6946774193548387,0.021276266132014145
13,10108.4,150.10076615394073,1.4530261874198913,0.018386638731358016,0.6566666666666666,0.025495097567963924,0.7192028985507246,0.01593955843834483,0.6900000000000001,0.013833407511220362
14,11037.0,192.95854477063202,1.4237908244132995,0.031614230677533994,0.6675000000000001,0.0327977810902574,0.7126086956521739,0.01486549651937283,0.6896774193548387,0.018421021335831265
