epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,56.0,0.0,2.0768501996994018,0.024632680132021967,0.22687500000000002,0.023057333432120897,0.27835820895522384,0.05037728009473932,0.26971772173041597,0.045892373251432375
2,166.8,2.4,1.806659746170044,0.02821717870626049,0.206875,0.07512749579880858,0.2881343283582089,0.04975037934572399,0.2795222983130115,0.05285092248405878
3,278.8,2.4,1.6432923793792724,0.02099879477060193,0.22937500000000002,0.07776416671578242,0.29955223880597015,0.061800057025381355,0.2909136462335059,0.06542924941304006
4,390.8,2.4,1.513835072517395,0.030473856394139572,0.3,0.06007807420348958,0.3591791044776119,0.04738899987315094,0.3558376482378487,0.04778904036673372
5,502.8,2.4,1.3934706568717956,0.03827318792876515,0.40625,0.10499255926016852,0.45067164179104474,0.10984732412742243,0.4470352430265576,0.10627260209608642
6,614.8,2.4,1.2943659782409669,0.02227278824525478,0.5512499999999999,0.07978486698616474,0.5945522388059701,0.08476183004442149,0.5901620177050274,0.07711479337485758
7,726.8,2.4,1.208653950691223,0.021522907395438322,0.673125,0.09001085004042568,0.6969402985074626,0.0992034717323062,0.6965091030566226,0.08986670608157252
8,838.8,2.4,1.1253321290016174,0.027641182067957598,0.7537499999999999,0.04786047429769162,0.7535074626865671,0.07246729776127073,0.7568398196091531,0.06397009880820849
9,950.8,2.4,1.044712495803833,0.024510784490193546,0.78875,0.04190763653560053,0.7955223880597015,0.04313923434373711,0.7951060631367963,0.04457003427959137
10,1062.8,2.4,0.9792369782924653,0.0238748570204592,0.844375,0.020434728405339775,0.8313432835820895,0.018766839174925276,0.8300150325705695,0.020330203055346944
11,1174.8,2.4,0.9285374820232392,0.023382611567297325,0.8306249999999998,0.04467329319627108,0.8415671641791045,0.013601961844005883,0.8412226490729916,0.016758251217847117
12,1286.8,2.4,0.8767153501510621,0.026769116400507276,0.8306250000000001,0.02730756534369186,0.8428358208955224,0.01143131590380095,0.841406380491064,0.01091790726300199
13,1398.8,2.4,0.8305872738361358,0.017581362968018804,0.8525,0.02132340263653998,0.8432835820895523,0.01028660354633599,0.8487222315015867,0.010012815491785171
14,1510.2,2.749545416973504,0.7876472532749176,0.016854924549942116,0.85,0.034118360159890455,0.8503731343283583,0.0058784942069576036,0.8528812426925004,0.009592385015532938
15,1622.2,2.749545416973504,0.7423394441604614,0.01889759225591673,0.8487500000000001,0.024334902917414733,0.8485074626865672,0.010768012827121061,0.8545515283113412,0.010342777561869559
16,1733.0,4.024922359499621,0.7118385314941407,0.020270744973299153,0.8512500000000001,0.025279685520195848,0.8567164179104477,0.013177507044717013,0.8611157507933858,0.011460703448336341
