epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,38.6,1.8,2.3063174962997435,0.00627535851001025,0.15450000000000003,0.04595922105519196,0.09338461538461537,0.07934882914316085,0.09886373200909013,0.07136808305066716
2,126.6,1.8,2.2542503118515014,0.021576812220417713,0.337,0.09311820445004296,0.32330769230769235,0.14216668689923573,0.3284824509721404,0.13253704267883773
3,215.2,2.4,2.1565586805343626,0.023232755359275273,0.5435000000000001,0.1347228636869036,0.5286923076923077,0.10382224796062564,0.5242319670061442,0.10202418544180435
4,303.2,2.4,2.058468818664551,0.03234660091649045,0.5955,0.08673090567957882,0.5365384615384616,0.11488777647527153,0.5403333052773336,0.10943297249067375
5,391.2,2.4,1.948714792728424,0.03762489532017112,0.705,0.057792733107199554,0.5425384615384615,0.06920602121767343,0.5542799427657604,0.06260739417580427
6,480.4,2.939387691339814,1.8384685039520263,0.035750661902149136,0.732,0.08591274643497318,0.588,0.09495698185160932,0.601986364784109,0.09390655633505537
7,569.0,3.0,1.7279876112937926,0.05747695456301259,0.8275,0.043660622991432446,0.6764615384615384,0.044598405257131,0.6869455433044357,0.040157119651681686
8,657.0,3.0,1.6247308492660522,0.05602003010718558,0.8800000000000001,0.030983866769659363,0.7364615384615385,0.032939248364834264,0.7436074404511406,0.027712441276230418
9,746.2,3.8418745424597094,1.5228177547454833,0.061909266024515734,0.8880000000000001,0.019000000000000017,0.7433846153846154,0.022946296964405772,0.7510058075919536,0.021954946337975685
10,836.0,6.0,1.4117103457450866,0.05746171579699171,0.908,0.016000000000000014,0.7566153846153846,0.022577152403500497,0.7601632859186938,0.020702941226098077
11,927.0,8.590692637965812,1.3056360960006714,0.05650545786132266,0.9125,0.021708293346092415,0.7699230769230769,0.02249904665961907,0.775784866593721,0.022888758150446355
12,1020.4,11.447270417003347,1.2100772261619568,0.06631850151026843,0.9119999999999999,0.0207605394920267,0.7706153846153846,0.02164479247810239,0.7747748506018012,0.01831076517995975
13,1112.6,12.713772060250255,1.1116765201091767,0.06858457764078972,0.9259999999999999,0.01757839583124692,0.78,0.023483596188421132,0.7888561568891508,0.016786745668138144
14,1204.8,14.891608375189028,1.019456833600998,0.06703774811591186,0.9305,0.01603901493234541,0.785923076923077,0.011067570838280414,0.7933507280531942,0.010626509082182534
15,1297.6,15.919798993705918,0.9364023923873901,0.0601905899892314,0.9400000000000001,0.01303840481040527,0.789923076923077,0.006639045343791746,0.7987374800101001,0.008721673124650572
16,1389.8,17.808986495586996,0.8646144390106201,0.06379717426210393,0.9339999999999999,0.012409673645990825,0.7985384615384615,0.01675599336385247,0.8041999831664002,0.012793040293582475
17,1482.0,19.349418595916518,0.7873751223087311,0.05020770057497306,0.942,0.008717797887081309,0.8009999999999999,0.012074963094262885,0.8069438599444491,0.012050556182496695
18,1574.2,21.306337085477644,0.7199620008468628,0.05932716147619105,0.9424999999999999,0.010781929326423885,0.7983076923076922,0.008124766724006697,0.8041158151670734,0.010210105655730859
